canal_1,canal_2,canal_3,canal_4,label
507.0,505.0,507.0,530.0,5
512.0,505.0,519.0,530.0,5
515.0,502.0,517.0,528.0,5
508.0,504.0,501.0,521.0,5
505.0,506.0,508.0,529.0,5
509.0,503.0,529.0,536.0,5
512.0,499.0,530.0,529.0,5
511.0,502.0,511.0,521.0,5
512.0,503.0,502.0,523.0,5
508.0,504.0,514.0,532.0,5
511.0,504.0,530.0,536.0,5
504.0,511.0,536.0,530.0,5
512.0,506.0,516.0,525.0,5
507.0,506.0,497.0,519.0,5
506.0,508.0,503.0,525.0,5
505.0,500.0,518.0,525.0,5
510.0,497.0,520.0,523.0,5
512.0,508.0,512.0,522.0,5
510.0,507.0,502.0,523.0,5
511.0,496.0,518.0,531.0,5
515.0,497.0,526.0,529.0,5
517.0,498.0,512.0,521.0,5
508.0,501.0,504.0,521.0,5
507.0,505.0,517.0,530.0,5
510.0,504.0,529.0,533.0,5
513.0,501.0,520.0,523.0,5
511.0,502.0,507.0,523.0,5
508.0,505.0,502.0,526.0,5
505.0,515.0,508.0,499.0,5
520.0,506.0,508.0,510.0,5
522.0,507.0,490.0,500.0,5
518.0,504.0,479.0,498.0,5
520.0,505.0,492.0,504.0,5
518.0,506.0,497.0,508.0,5
521.0,511.0,500.0,503.0,5
516.0,510.0,479.0,496.0,5
513.0,511.0,479.0,501.0,5
516.0,505.0,498.0,505.0,5
512.0,506.0,497.0,499.0,5
513.0,505.0,483.0,498.0,5
513.0,505.0,476.0,496.0,5
515.0,507.0,494.0,503.0,5
521.0,505.0,503.0,509.0,5
511.0,509.0,496.0,503.0,5
515.0,514.0,483.0,504.0,5
514.0,515.0,504.0,483.0,5
516.0,509.0,482.0,507.0,5
515.0,504.0,504.0,509.0,5
522.0,504.0,505.0,507.0,5
511.0,506.0,486.0,496.0,5
511.0,509.0,484.0,506.0,5
514.0,511.0,491.0,508.0,5
517.0,510.0,503.0,506.0,5
520.0,504.0,493.0,506.0,5
515.0,505.0,475.0,497.0,5
520.0,501.0,492.0,506.0,5
512.0,503.0,502.0,505.0,5
512.0,509.0,500.0,502.0,5
510.0,514.0,484.0,500.0,5
512.0,512.0,481.0,502.0,5
514.0,506.0,495.0,506.0,5
517.0,503.0,504.0,503.0,5
503.0,517.0,503.0,504.0,5
517.0,507.0,489.0,507.0,5
515.0,512.0,479.0,502.0,5
515.0,513.0,492.0,502.0,5
521.0,503.0,505.0,503.0,5
521.0,507.0,500.0,499.0,5
515.0,506.0,481.0,495.0,5
507.0,511.0,492.0,504.0,5
513.0,511.0,502.0,502.0,5
519.0,505.0,504.0,504.0,5
521.0,506.0,488.0,503.0,5
519.0,513.0,479.0,503.0,5
514.0,509.0,495.0,509.0,5
518.0,509.0,498.0,504.0,5
518.0,509.0,493.0,497.0,5
516.0,507.0,478.0,497.0,5
515.0,507.0,484.0,502.0,5
507.0,515.0,502.0,484.0,5
516.0,506.0,503.0,504.0,5
518.0,513.0,499.0,505.0,5
512.0,513.0,480.0,496.0,5
513.0,510.0,480.0,497.0,5
515.0,499.0,496.0,506.0,5
518.0,499.0,499.0,501.0,5
518.0,504.0,487.0,499.0,5
512.0,508.0,474.0,495.0,5
513.0,507.0,482.0,501.0,5
520.0,502.0,502.0,505.0,5
516.0,503.0,495.0,498.0,5
510.0,510.0,480.0,498.0,5
512.0,512.0,483.0,505.0,5
512.0,508.0,498.0,505.0,5
517.0,504.0,503.0,505.0,5
513.0,508.0,486.0,494.0,5
508.0,513.0,494.0,486.0,5
512.0,507.0,480.0,495.0,5
514.0,506.0,492.0,508.0,5
521.0,505.0,501.0,502.0,5
521.0,510.0,491.0,499.0,5
512.0,509.0,476.0,500.0,5
513.0,511.0,489.0,507.0,5
512.0,508.0,503.0,511.0,5
516.0,511.0,497.0,502.0,5
515.0,510.0,481.0,495.0,5
518.0,501.0,477.0,498.0,5
516.0,506.0,497.0,506.0,5
516.0,498.0,501.0,509.0,5
520.0,505.0,486.0,497.0,5
512.0,512.0,476.0,499.0,5
512.0,510.0,484.0,509.0,5
514.0,506.0,499.0,507.0,5
506.0,514.0,507.0,499.0,5
510.0,507.0,501.0,504.0,5
514.0,509.0,482.0,498.0,5
519.0,506.0,480.0,503.0,5
519.0,508.0,503.0,507.0,5
522.0,504.0,502.0,505.0,5
520.0,506.0,485.0,502.0,5
517.0,510.0,482.0,497.0,5
515.0,511.0,491.0,511.0,5
515.0,502.0,506.0,513.0,5
515.0,505.0,498.0,507.0,5
511.0,509.0,483.0,497.0,5
513.0,511.0,484.0,504.0,5
516.0,511.0,505.0,510.0,5
518.0,507.0,507.0,506.0,5
516.0,514.0,486.0,500.0,5
514.0,505.0,476.0,497.0,5
505.0,514.0,497.0,476.0,5
517.0,507.0,490.0,502.0,5
517.0,503.0,505.0,511.0,5
512.0,506.0,497.0,502.0,5
515.0,515.0,480.0,499.0,5
509.0,516.0,486.0,513.0,5
513.0,504.0,510.0,506.0,5
514.0,506.0,501.0,507.0,5
517.0,505.0,487.0,503.0,5
519.0,504.0,484.0,506.0,5
517.0,510.0,500.0,514.0,5
518.0,509.0,512.0,512.0,5
