canal_1,canal_2,canal_3,canal_4
0.5728089979380588,0.5738518155264147,0.5170639015023707,0.565527366683282
0.5727705413438766,0.5737618565525491,0.5166119585159712,0.5655883208513112
0.5727426059476974,0.573670229390722,0.5161791847517281,0.5656487371121809
0.572726359078492,0.5735791658434307,0.5157898604557455,0.5657072115654643
0.5726983885041637,0.573443888098086,0.5152405476780284,0.5657927578252849
0.5726653900974156,0.573274469386176,0.5145811790774278,0.5658986078403736
0.5726209141829546,0.5732216650049331,0.5141985866398499,0.5658966263363374
0.5725615968170686,0.5732942694613573,0.5141050704493592,0.5657778446863746
0.5724950178019552,0.5734274345054439,0.5141527286498757,0.5655982482417865
0.5724185361282448,0.5736622867322988,0.514444246982469,0.5653222011105691
0.57232961702946,0.5738993329654183,0.5147092882111048,0.5650315014338256
0.5722284665209628,0.574133987423807,0.5149376356989688,0.5647295490060029
0.5721136938724455,0.5744521818598592,0.5153542540117437,0.5643204138626022
0.5719844403458532,0.5748341065009905,0.5159053025124325,0.5638174851874516
0.5719108592905051,0.5750460446138179,0.5162473379759962,0.5637060937893033
0.5718993009776925,0.5750765543631939,0.5163769877505299,0.5640170572324643
0.5719158397822667,0.5750234975407333,0.5164230684196788,0.5636147707155277
0.5719802604877743,0.5748238977284779,0.5162980223714193,0.5625367864845293
0.5720515304264268,0.5746364545446011,0.5162639364940721,0.5657327696501596
0.5721274779469991,0.5744685325964295,0.5163338590251353,0.5638921470823667
0.5722462625425891,0.5741857556386628,0.5163029183509563,0.5647747336396118
0.57239996424009,0.5738201480890825,0.5162270179915855,0.5652604055379965
0.572456352481387,0.5736682820640056,0.5162279539857455,0.5655394462346907
0.5724079123827861,0.5737415633516834,0.5162932320990102,0.5656021001838304
0.57231237072736,0.5739203953752868,0.5164033361577766,0.5655755650436146
0.5721338973090992,0.5742837044088186,0.5165858954913919,0.565377262861693
0.5719595814002508,0.5746233809339072,0.5167172666313123,0.5652322292162345
0.5717938123495071,0.5749299678549757,0.5167944270716393,0.5651517905589617
0.5715617338627677,0.5753760623615175,0.5169015943895235,0.5649526505944771
0.5712809451130564,0.5759192433440792,0.5170122732386916,0.5646817790801234
0.5711549729251948,0.5762325551515625,0.5171143878491498,0.5645363295608987
0.5711939911021228,0.5763061687161957,0.5172150878973579,0.5645124469971673
0.5713132465868649,0.5762670035674043,0.5173010688248744,0.564547914773782
0.5715677648332418,0.5760287784653974,0.5173704299848667,0.5646916387866783
0.5718197607874791,0.5758272890638326,0.517452048217358,0.5647808292199312
0.5720631096691965,0.5756727757954241,0.5175444056815636,0.5648089787799939
0.5724149505811151,0.5753726380432449,0.5176313063078474,0.5648984794131915
0.5728476976892866,0.5749751188475007,0.517718236658526,0.5650147665855125
0.5731021804478875,0.5747371256787142,0.5178318078256238,0.5650869721939932
0.5731685922939528,0.5746590182430044,0.5179732714642207,0.5651221488068443
0.5731519203925605,0.5746505932858975,0.5181338873555379,0.5651299801017152
0.5729833509138412,0.5747771134212202,0.5183211927750917,0.5650939999860897
0.5728450170389208,0.5748374513290004,0.5185145785499273,0.5650872478661052
0.5727454417256114,0.5748228193922092,0.5187138259911088,0.5651108936111495
0.5725339463808012,0.5748890356596973,0.5189361681282916,0.5651147023435592
0.5722478481529846,0.5749936653666788,0.5191778150474586,0.565113917835865
0.5720504624354834,0.5750582741441882,0.5193616675313116,0.5651160623520304
0.5719379739603457,0.5750939260978276,0.519482455992386,0.5651165552995854
0.5718570325473505,0.5751091352398481,0.5195742743884766,0.5651224262719361
0.5718475358214785,0.5750871168439917,0.5196158078226323,0.5651345993537494
0.5717738083470342,0.5751145588660549,0.5196567175537025,0.565134984950522
0.5716294869919526,0.5751937104781693,0.5196992876809794,0.5651240108576782
0.5715152720307256,0.5752681795416147,0.519699806727349,0.5651113167977871
0.5714016459795299,0.5753570085892633,0.5196680392907462,0.5650931031053471
0.5712835772559811,0.5753794087765007,0.5196208306669523,0.5650617458855023
0.5711716905887124,0.575322197162159,0.5195533175474748,0.5650170192152918
0.5710476332772216,0.5752373483798109,0.5194630490199981,0.5649595877502631
0.5709128055332557,0.5751008892560847,0.5193521773472635,0.5648870759706178
0.5707956435566632,0.5749451124365911,0.5191981698044167,0.5648064825206114
0.5706952093997579,0.5747736538651146,0.5189990228004104,0.5647173491437096
0.5705992169645643,0.5745489211669411,0.5187664691620479,0.5646137473462166
0.5705139141412495,0.5742770815235291,0.5184943471224256,0.5644966610339948
0.5704809715364848,0.5741532227568782,0.5183254240372593,0.5643918963296004
0.570504749456705,0.5741905566352017,0.5182740825586699,0.5643009852313929
